clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1400028,CULTURA Y DISEÑO I,DiPS,1,OBL,,Licenciatura,Licenciatura,
1404001,LENGUAJE BÁSICO,DiPS,1,OBL,,Licenciatura,Licenciatura,
1400044,ELEMENTOS DE MATEMÁTICAS PARA EL DISEÑO,DiPS,1,OBL,,Licenciatura,Licenciatura,
1400045,TALLER DE REPRESENTACIÓN Y EXPRESIÓN DIGITAL BIDIMENSIONAL,DiPS,1,OBL,,Licenciatura,Licenciatura,
1400029,FUNDAMENTOS TEÓRICOS DEL DISEÑO II,DiPS,2,OBL,,Licenciatura,Licenciatura,
1400046,PRINCIPIOS DE SUSTENTABILIDAD,DiPS,2,OBL,,Licenciatura,Licenciatura,
1404002,SISTEMAS DE DISEÑO,DiPS,2,OBL,,Licenciatura,Licenciatura,
1400048,ESTADÍSTICA PARA DISEÑO SUSTENTABLE,DiPS,2,OBL,,Licenciatura,Licenciatura,
1400049,TALLER DE REPRESENTACIÓN Y EXPRESIÓN DIGITAL TRIDIMENSIONAL,DiPS,2,OBL,,Licenciatura,Licenciatura,
1440001,TEORÍA DEL DISEÑO,DiPS,3,OBL,,Licenciatura,Licenciatura,
1440002,LEGISLACIÓN Y DISEÑO AMBIENTAL,DiPS,3,OBL,,Licenciatura,Licenciatura,
1440003,TALLER DE DISEÑO PARA LA SUSTENTABILIDAD I,DiPS,3,OBL,,Licenciatura,Licenciatura,
1440004,INTRODUCCIÓN A LA GESTIÓN DEL PROYECTO SUSTENTABLE,DiPS,3,OBL,,Licenciatura,Licenciatura,
1440005,ANÁLISIS DE CICLO DE VIDA,DiPS,3,OBL,,Licenciatura,Licenciatura,
1440006,PENSAMIENTO VISUAL,DiPS,3,OBL,,Licenciatura,Licenciatura,
1440007,INTRODUCCIÓN AL DESARROLLO SUSTENTABLE,DiPS,4,OBL,,Licenciatura,Licenciatura,
1440008,DERECHOS HUMANOS,DiPS,4,OBL,,Licenciatura,Licenciatura,
1440009,TALLER DE DISEÑO PARA LA SUSTENTABILIDAD II,DiPS,4,OBL,,Licenciatura,Licenciatura,
1440010,INTRODUCCIÓN A LA ECONOMÍA AMBIENTAL Y ECOLÓGICA,DiPS,4,OBL,,Licenciatura,Licenciatura,
1440011,TÉCNICAS DE RECOPILACIÓN DE DATOS CUALITATIVOS,DiPS,4,OBL,,Licenciatura,Licenciatura,
1440012,PENSAMIENTO VISUAL II,DiPS,4,OBL,,Licenciatura,Licenciatura,
1440013,DISEÑO PARA LA SUSTENTABILIDAD,DiPS,5,OBL,,Licenciatura,Licenciatura,
1440014,GÉNERO Y CULTURA,DiPS,5,OBL,,Licenciatura,Licenciatura,
1440015,TALLER DE DISEÑO PARA LA SUSTENTABILIDAD II,DiPS,5,OBL,,Licenciatura,Licenciatura,
1440016,SEMINARIO DE ORGANIZACIONES SOCIALES,DiPS,5,OBL,,Licenciatura,Licenciatura,
1440017,TÉCNICAS DE RECOPILACIÓN DE DATOS CUANTITATIVOS,DiPS,5,OBL,,Licenciatura,Licenciatura,
1440018,NARRATIVA ORIENTADA A COMUNICACIÓN DE PROYECTOS,DiPS,5,OBL,,Licenciatura,Licenciatura,
1440019,DISEÑO COMO FORMA DE PENSAMIENTO,DiPS,6,OBL,,Licenciatura,Licenciatura,
1440020,GESTIÓN SOCIAL Y PARTICIPACIÓN CIUDADANA,DiPS,6,OBL,,Licenciatura,Licenciatura,
1440021,PROYECTO SUSTENTABLE I,DiPS,6,OBL,,Licenciatura,Licenciatura,
1440022,MOVIMIENTOS SOCIALES,DiPS,6,OBL,,Licenciatura,Licenciatura,
1440023,ANÁLISIS Y EVALUACIÓN DE INFORMACIÓN,DiPS,6,OBL,,Licenciatura,Licenciatura,
1440024,VISUALIZACIÓN PARA EL DISEÑO,DiPS,6,OBL,,Licenciatura,Licenciatura,
1440025,TEMAS SELECTOS I,DiPS,7,OBL,,Licenciatura,Licenciatura,
1440026,CONFLICTOS AMBIENTALES Y SUSTENTABILIDAD EN LAS CIUDADES,DiPS,7,OBL,,Licenciatura,Licenciatura,
1440027,PROYECTO SUSTENTABLE II,DiPS,7,OBL,,Licenciatura,Licenciatura,
1440028,TEORÍAS DEL CONFLICTO Y EL CONSENSO,DiPS,7,OBL,,Licenciatura,Licenciatura,
1440029,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,DiPS,7,OBL,,Licenciatura,Licenciatura,
1440030,TEMAS SELECTOS II,DiPS,8,OBL,,Licenciatura,Licenciatura,
1440031,ACCIÓN GUBERNAMENTAL Y PARTICIPACIÓN,DiPS,8,OBL,,Licenciatura,Licenciatura,
1440032,PROYECTO SUSTENTABLE III,DiPS,8,OBL,,Licenciatura,Licenciatura,
1440033,CONFLICTOS TERRITORIALES Y NEGOCIACIÓN,DiPS,8,OBL,,Licenciatura,Licenciatura,
1440034,ECONOMÍA ESPACIAL,DiPS,8,OBL,,Licenciatura,Licenciatura,
1440035,TEMAS SELECTOS III,DiPS,9,OBL,,Licenciatura,Licenciatura,
1440036,ESTADO Y POLÍTICAS PÚBLICAS,DiPS,9,OBL,,Licenciatura,Licenciatura,
1440037,PROYECTO SUSTENTABLE IV,DiPS,9,OBL,,Licenciatura,Licenciatura,
1440038,SEMINARIO DE GESTIÓN PÚBLICA,DiPS,9,OBL,,Licenciatura,Licenciatura,
1440039,SEMINARIO DE PROYECTO INTEGRAL,DiPS,10,OBL,,Licenciatura,Licenciatura,
1440040,PLANEACIÓN ESTRATÉGICA,DiPS,10,OBL,,Licenciatura,Licenciatura,
1440041,PROYECTO INTEGRAL I,DiPS,11,OBL,,Licenciatura,Licenciatura,
1440042,EVALUACIÓN DE PROYECTOS,DiPS,11,OBL,,Licenciatura,Licenciatura,
1440043,PROYECTO INTEGRAL II,DiPS,12,OBL,,Licenciatura,Licenciatura,
1441001,TEMAS SELECTOS DISCIPLINARES I,DiPS,VII-XII,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1441002,TEMAS SELECTOS DISCIPLINARES II,DiPS,VII-XII,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1441003,TEMAS SELECTOS DISCIPLINARES III,DiPS,VII-XII,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1441004,TEMAS SELECTOS DISCIPLINARES IV,DiPS,VII-XII,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1441005,TEMAS SELECTOS DISCIPLINARES V,DiPS,VII-XII,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1441006,TEMAS SELECTOS DISCIPLINARES VI,DiPS,VII-XII,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1441007,TEMAS SELECTOS INTERDISCIPLINARES I,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441008,TEMAS SELECTOS INTERDISCIPLINARES II,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441009,TEMAS SELECTOS INTERDISCIPLINARES III,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441010,TEMAS SELECTOS INTERDISCIPLINARES IV,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441011,TEMAS SELECTOS INTERDISCIPLINARES V,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441012,TEMAS SELECTOS INTERDISCIPLINARES VI,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441013,TEMAS SELECTOS INTERDISCIPLINARES VII,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441014,TEMAS SELECTOS INTERDISCIPLINARES VIII,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441015,TEMAS SELECTOS INTERDISCIPLINARES IX,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441016,TEMAS SELECTOS INTERDISCIPLINARES X,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
